en,vi
"It says that , if it were linear , the steepest slope , then doubling the size you would require double the amount of energy .","Nó nói rằng , nếu nó là tuyến tính , cái dốc thẳng đứng nhất , thì tăng kích cỡ của nó lên gấp đôi bạn sẽ yêu cầu một lượng năng lượng gấp đôi ."
Journalist : It &apos;s a Whirlwind electronic computer .,Đó là một chiếc máy tính điện tử Whirlwind .
"And if you can , just scribble a pattern .","Và nều bạn có thể , hãy phác hoạ hình mẫu đó ra ,"
"And here you see people like Mary Robinson , I went to see in Geneva .","Và tại đây bạn có thể gặp những người như Mary Robinson , Tôi đã tới Geneva ."
"But if you &apos;re conservative , that &apos;s not so attractive .","Nhưng nếu bạn theo phái bảo thủ , việc này không hấp dẫn đến vậy ."
"That , I think , is movement .","Điều đó , theo tôi , là sự chuyển động ."
We can build on their wisdom .,Chúng ta phát triển trên nền tảng trí tuệ của họ .
"Then Mother Teresa , another mystic warrior , who said , &quot; The problem with the world is that we draw the circle of our family too small . &quot;","Sau đó mẹ Teresa , một chiến binh huyền thoại khác , nói rằng , &quot; Vấn đề cua thế giới là chúng ta chỉ giới hạn mình ở khái niệm gia đình bé nhỏ của chúng ta . &quot;"
"As I was approaching my late 40s , when I would wake up in the morning my first six thoughts would all be negative .","Và ở đoạn cuối độ tuổi 40 của mình , mỗi khi tôi thức dậy vào buổi sáng sáu ý nghĩ đầu tiên của tôi đều là tiêu cực ."
"This is about couples working together , and so I do need to say that within the vehicle we have quite strict territories , Beverly and I.",Đây là chuyện làm việc cùng nhau nên tôi cần phải nói là ở trong xe thì giữa Beverly và tôi có ranh giới khá rạch ròi .
"We can fold a million times faster , we can fold in hundreds and hundreds of variations .","Chúng ta có thể gấp nhanh hơn một triệu lần , có thể gấp hàng trăm biến thể"
"But also not everyone wants to live in a city , certainly not a city like New York .","Nhưng không phải ai cũng muốn sống ở thành phố , đương nhiên không phải là thành phố như New York ."
"Stepping onto the sidewalk , I then heard the sound of a steel chair slide across the concrete sidewalk in front of me .","Bước chân trên vỉa hè , tôi bỗng nghe thấy tiếng của một cái ghế sắt bị kéo dọc trên mặt đường bê tông ngay phía trước tôi ."
"And so with that , coming to a -- coming to an operating theater near you soon , I believe .","Và với nó , tiến tới -- tiến tới 1 rạp hát phẫu thuật gần hơn với bạn , tôi tin chắc vậy ."
You &apos;re much too young to help .,"Nhưng con còn quá bé , chưa thể giúp họ được ."
Give power to designers .,Hãy trao sức mạnh cho họ .
This software allows us to come close and look at parts of this .,Phần mềm này cho phép chúng ta đến gần hơn và nhìn thấy các phần của nó .
"But sort of like us , he can actually learn about it from watching Matt &apos;s reaction .","Nhưng mà như con người , Leo có thể học cách phản ứng trong khi theo dõi Matt Berlin ."
Kind of hard to see that female-pattern disease .,Nhưng khá khó để có thể nhận thấy dạn bệnh tật ở phái nữ .
Can I reconstruct social networks of the past ?,Tôi có thể thiết lập lại mạng lưới xã hội của quá khứ không ?
"It didn &apos;t sound like a complaint , exactly , but just a way to let me know , a kind of tender admission , to remind me that he knew he was giving himself over to a voracious , unfinished path that always required more .","Nghe như một lời phàn nàn , chính xác là vậy , nhưng đó là cách để tôi biết , một dạng thức thừa nhận , rằng anh ấy biết đang để bản thân vượt qua một con đường chưa hoàn thành đầy khao khát luôn đòi hỏi nhiều hơn , cao hơn ."
Imagine one billion people being connected to physical goods in the same way that mobile telecommunications connected them to information .,Hãy tưởng tượng 1 tỷ người được kết nối với hàng hoá theo cùng một cách giống như công nghệ viễn thông di động kết nối con người với thông tin vậy .
Thank you .,Cảm ơn các bạn đã chú ý lắng nghe .
"And I think corruption , and the fight against corruption , and the impact of corruption , is probably one of the most interesting ways to illustrate what I mean with this failure of governance .","Tôi cho rằng nạn tham nhũng , cuộc đấu tranh chống tham nhũng , và hậu quả của tham nhũng , có lẽ là một trong những cách thú vị nhất để minh hoạ ý của tôi về sự thiếu hiệu quả của các bộ máy cai trị ."
Will it provide high quality care ?,"nó có thể phát triển , cung cấp dịch vụ chăm sóc sức khoẻ chất lượng cao không ?"
"We &apos;re all familiar with satellite imagery , but what we might not know is that much of it is out of date . That &apos;s because satellites are big and expensive , so there aren &apos;t that many of them up in space . As he explains in this fascinating talk , Dan Berkenstock and his team came up with a different solution , designing a cheap , lightweight satellite with a radically new approach to photographing what &apos;s going on on Earth .","Phần lớn chúng ta đều quen thuộc với hình ảnh từ vệ tinh . Nhưng những gì ta có thể không biết , đó là rất nhiều trong số chúng đã trở nên lạc hậu . Bởi vì các vệ tinh thường lớn và đắt tiền , nên người ta không thể đưa nhiều vệ tinh vào không gian . Trong bài nói chuyện hấp dẫn này , Dan Berkenstock và nhóm của ông đưa ra một giải pháp khác biệt , thiết kế giá rẻ , vệ tinh nhẹ với một cách tiếp cận hoàn toàn mới để chụp ảnh những gì đang xảy ra trên trái đất ."
"Under no circumstances were they to refuse any application whatsoever on the basis of whether someone had no arms , no legs -- they could still perhaps play a wind instrument if it was supported on a stand .","Nguyên tắc là bất kỳ đơn xin nào cũng được xem xét cho dù người ta không có tay , không có chân -- họ có lẽ còn có thể chơi một loại nhạc khí hơi nếu nó được đặt trên một cái chân ."
"When the planes struck and the towers collapsed , many of these women experienced the same horrors inflicted on other survivors of the disaster -- the overwhelming chaos and confusion , the rolling clouds of potentially toxic dust and debris , the heart-pounding fear for their lives .","Khi chứng kiến cảnh máy bay đâm thẳng vào hai toà tháp và chúng đổ sập xuống , rất nhiều phụ nữ mang thai đã bị ám ảnh bởi nỗi kinh hoàng đó - nó cũng ảnh hưởng đến những người sống sót khác trong thảm hoạ này - sự hỗn loạn tràn ngập khắp nơi , những đám mây cuộn tròn bụi và xà bần , nỗi sợ hãi về cái chết làm tim đập liên hồi ."
"So something can be done , even in such extreme environments as Afghanistan .",Như thế là chúng ta có thể làm được gì đó thậm chí ở những môi trường cực đoan như Afghanistan .
"We &apos;ve become addicted to their certainty , their assuredness , their definitiveness , and in the process , we have ceded our responsibility , substituting our intellect and our intelligence for their supposed words of wisdom .","Chúng ta đã trở nên nghiện sự chắc chắn của họ , sự tự tin của họ , sự dứt khoát của họ , và trong tiến trình này , chúng ta đã nhượng lại trách nhiệm của mình , thay thế trí tuệ và sự hiểu biết của mình cho những lời nói thông thái của họ ."
So good job . Quest number three .,Làm rất tốt . Nhiệm vụ thứ ba .
I grew up on the coast of England in the &apos; 70s .,Tôi lớn lên ở bờ biển Anh quốc vào những năm 70 .
They reduce speeds by about five to 10 percent .,Họ sẽ giảm tốc độ từ 5-10 % .
"In the cities , a lot of the cost of property is actually wrapped up in its speculative value .","Trong thành phố , phần lớn giá trị tài sản thật sự là giá trị đầu cơ ."
"Building is at the heart of the experience : hands on , deeply immersed and fully committed to the problem at hand .",Xây dựng là trung tâm của trải nghiệm . Bắt tay làm và chính mình đối mặt với vấn đề .
"And he said , &quot; Well , I guess with everything in life , there &apos;s a place of balance . &quot;","và ông nói rằng , thế đấy , mọi vật trong cuộc sống đều có một sự cân bằng"
These are volcanic stones laid by hand .,Đây là những viên đá núi lửa được sắp xếp bằng tay .
Uh-oh . Why did he take that one ?,Tại sao hắn lấy cái bánh đó ?
So you can take it off the wall .,Vì thế bạn có thể tháo nó khỏi tường .
We invent for fun -- invention is a lot of fun to do -- and we also invent for profit .,"Một là , phát minh cho vui . Thực vậy , phát minh là 1 công việc rất vui . Và chúng tôi cũng phát mình vì lợi nhuận ."
"And they &apos;ve made this , what was just a store along a commercial strip , into a community gathering space .","Và họ biến 1 cửa hàng dọc 1 dải thương mại , thành không gian tập hợp cộng đồng ."
"If you can manage to experience three positive emotions for every one negative emotion over the course of an hour , a day , a week , you dramatically improve your health and your ability to successfully tackle any problem you &apos;re facing .","Nếu bạn cố gắng trải nghiệm ba trạng thái cảm xúc tích cực cho một trạng thái cảm xúc tiêu cực trong khoảng thời gian là một tiếng , một ngày , một tuần , bạn sẽ cải thiện đáng kể sức khoẻ của bạn và khả năng của bạn để giải quyết thành công bất cứ vấn đề nào bạn đang gặp phải ."
"Perhaps , in the face of constant pressure , my caveman instinct of survival has connected with the bows .","Có thể nói về mặt áp lực liên tục , sự tồn tại của bản năng người hang động trong tôi đã liên kết với những cái cung ."
"It &apos;s titled , &quot; An American Index of the Hidden and Unfamiliar , &quot; and it &apos;s comprised of nearly 70 images .",Tiêu đề là &quot; Danh sách những bí mật và sự thật bị che giấu của nước Mỹ &quot; nó bao gồm gần 70 bức ảnh .
And sometimes you get a lot of text information and no visual information .,Đôi khi các bạn lại có được rất nhiều thông tin văn bản mà không hề có hình ảnh .
DH : It was TED .,DH : TED gọi .
Now this is a tactic that patent trolls are supposed to use on people to get their way .,Đây đáng lẽ ra là chiến thuật mà bọn người sáng chế ma thường dùng trên các nạn nhân để hướng mọi việc theo ý của chúng .
This is our first architectural model .,Đây là phiên bản mẫu đầu tiên của chúng tôi .
"Brian photographed a marine sanctuary in New Zealand , where commercial fishing had been banned -- the result being that the overfished species have been restored , and with them a possible solution for sustainable fisheries .",Brian đã chụp ảnh một khu bảo tồn biển ở New Zealand nơi mà đánh cá vì mục đích thương mại đã bị cấm kết quả là những loài bị đánh bắt vượt mức đã được khôi phục và cùng với đó là một giải pháp khả thi cho ngư nghiệp bền vững .
Two weeks old .,2 tuần tuổi .
"And when I came at age 22 to live on Fernandina , let me just say , that I had never camped before .",và khi tôi đến Fernandina khi tôi ở tuổi 22 để tôi chỉ nói rằng tôi không bao giờ cắm trại trước đó
"Yet , that &apos;s the one step computers can do better than any human after years of practice .",Nhưng mà đó là bước mà máy tính có thể làm tốt hơn bất cứ ai dù với nhiều năm thực hành .
"James Murray , first editor of the Oxford English Dictionary .","James Murray , người biên tập đầu tiên của Từ điển Oxford ."
"This one in particular sticks in my mind , because this is the first case of this disease that I saw myself .","Hình ảnh này đặc biệt khắc sâu trong tâm trí tôi , vì đây là trường hợp đầu tiên chính tôi tận mắt chứng kiến ."
"And it turns out that , in fact , technologies don &apos;t die .","Và nó rằng thực sự , công nghệ không chết ."
Through embroidery we were promoting their traditions .,"Qua ngành thêu dệt , chúng tôi quảng bá văn hoá của họ ."
And we should save trees in the end .,Và suy cho cùng chúng ta cũng nên tiết kiệm gỗ và giảm việc đốn hạ cây cối .
"It &apos;s actually not life , it &apos;s a crystal .",Nó thực tế không phải sự sống mà là một tinh thể .
"And they were the first people to describe this new chemical transmitter , nitric oxide .","Và họ là những người đầu tiên mô tả chất chuyển tiếp mới này , nitric oxide ."
It &apos;s true . Because there &apos;s a soul in this whole thing .,"Đúng thế , vì trong toàn bộ cái này là 1 tâm hồn ."
"The same bribes and backhanders and things that take place under the table , it all takes place in the private sector .",Hối lộ hoặc tiền bôi trơn hay những việc làm phi pháp tương tự tất cả đều diễn ra trong khu vực tư nhân .
"Of course , thanks to the environmentalist movement we &apos;re all sensitive to the plight of marine mammals .","Đương nhiên , nhờ vào phong trào bảo vệ môi trường chúng ta đều quan tâm tới vấn nạn của động vật có vú dưới nước ."
"But before I give it away , I want to ask you to right now do a little audit of your body and what you &apos;re doing with your body .","Nhưng trước khi tôi tiết lộ bí mật này , tôi muốn các bạn hãy nhìn vào cơ thể mình và xem mình đang làm gì với nó ."
So we began with a test .,Thế nên chúng tôi bắt đầu bằng một bài kiểm tra .
"In our tradition , there is a ceremony that girls have to undergo to become women , and it &apos;s a rite of passage to womanhood .","Theo truyền thống , có một buỗi lễ mà mọi đứa con gái đều phải trải qua để trở thành phụ nữ , đó là nghi thức bước vào giai đoạn phụ nữ trưởng thành ."
"I remember when you were the first woman as Secretary of State , and there was a lot of conversation always about what you were wearing , how you looked -- the thing that happens to a lot of women , especially if they &apos;re the first in a position .","Tôi nhớ khi bà trở thành người phụ nữ đầu tiên nhận chức Bộ trưởng Bộ Ngoại giao , và đã có rất nhiều cuộc bàn luận lúc nào cũng nói về việc bà đang mặc gì , trông bà thế nào -- điều này xảy ra với rất nhiều phụ nữ , đặc biệt nếu họ ở cương vị đứng đầu ."
"What we know is this is really important to the way we function , right ?","Chúng ta biết rằng điều này rất quan trọng tới cách chúng ta hoạt động , đúng không ?"
"&quot; Is it okay if I totally trash your office ? &quot; It &apos;s a question Elyn Saks once asked her doctor , and it wasn &apos;t a joke . A legal scholar , in 2007 Saks came forward with her own story of schizophrenia , controlled by drugs and therapy but ever-present . In this powerful talk , she asks us to see people with mental illness clearly , honestly and compassionately .","&quot; Sẽ không vấn đề gì nếu tôi phá hoại toàn bộ văn phòng của ông chứ ? &quot; Đó là câu hỏi mà Elyn Saks đã một lần hỏi vị bác sĩ của mình , và nó không đơn thuần chỉ là một câu chuyện đùa . Là một học giả ngành luật , vào năm 2007 Saks đến với chúng ta , cung cấp những hiểu biết qua câu chuyện của bà về chứng tâm thần phân liệt , được kiểm soát bằng thuốc đặc trị và những liệu pháp đặc biệt nhưng buộc phải được thực hiện trong một thời gian rất dài . Trong buổi trò chuyện vô cùng hấp dẫn này , bà đã muốn chúng ta nên nhìn nhận những người bị mắc phải những bệnh lý về thần kinh theo cách rõ ràng , trung thực và cảm thông sâu sắc ."
"The first , at the patient level -- mothers and babies keeping babies from getting HIV , keeping mothers healthy to raise them .","Đầu tiên , mức độ bệnh nhân -- những người mẹ và những đứa con giữ cho những đứa bé không bị nhiễm HIV , giữ cho những người mẹ khoẻ mạnh để nuôi nấng chúng"
And then you wait for the opening shock for your parachute to open .,Và rồi bạn chờ một cú giật mạnh khi dù của bạn mở .
"Because while people are talking about data , making it possible for Facebook to mine my friend from the third grade , or Target to know when it &apos;s time for me to buy more diapers , or some dude to build a better baseball team , I &apos;m actually really excited about the power of data and the power of texting to help that kid go to school , to help that girl stop cutting in the bathroom and absolutely to help that girl whose father &apos;s raping her .","Bởi vì dữ liệu chính là thứ , đã làm cho Facebook có thể kết nối tôi và bạn lớp ba của tôi ; hay để cho tôi biết khi nào cần mua thêm bỉm hay để một ai đấy xây dựng một đội bóng hiệu quả . Tôi đang thực sự , thực sự rất hứng thú về sức mạnh của dữ liệu và sức mạnh của nhắn tin để giúp cậu bé kia đi học để giúp cô gái đó ngừng lại việc tự rạch tay và tất nhiên để giúp cô gái đang bị cha cưỡng hiếp ."
Think of what that means .,Điều đó nghĩa là gì .
"And maybe by 2020 , you &apos;ll buy them just knowing that this is an insect that you &apos;re going to eat .","Và có thể năm 2020 , bạn sẽ mua chúng mà chỉ biết rằng đây là côn trùng mà bạn sẽ ăn ."
"When the opportunity came , I crossed two oceans , with borrowed money for airfare and only a $ 20 bill in my pocket .","Khi cơ hội đến , tôi vượt hai đại dương với số tiền mượn để mua vé máy bay và một tờ 20 đô trong túi ."
And how can light help there ?,Và ánh sáng giúp ích thế nào ?
"I tried to be inclusive , to include the buildings in the neighborhood , whether they were buildings I liked or not .","Tôi cố gắng tính đến cả những toà nhà lân cận , liệu tôi có thích chúng hay không ."
So I began to work with National Geographic Society and others and led expeditions to Antarctica .,Vì vậy tôi bắt đầu làm việc với tạp chí National Geographic Society cùng các báo khác và dẫn các cuộc thám hiểm tới Nam Cực .
"I &apos;ve never seen a representation of a kind of radio interference patterns , which are so ubiquitous and such an important part of our lives .","Tôi chưa từng thấy ai thể hiện một loại mẫu hình sóng giao thoa , mà những mẫu hình ấy ở đâu cũng có , và là một phần vô cùng quan trọng trong cuộc sống của chúng ta ."
"So they went back , and they thought about it .",Họ trở về và suy nghĩ điều đó .
"They have the ability to protect themselves from many kinds of damage , which we think makes them live longer .","Chúng có khả năng bảo vệ bản thân khỏi nhiều chấn thương , và chúng ta nghĩ rằng điều đó khiến chúng sống lâu hơn ."
That &apos;s enough energy to meet the daily electrical needs of 200 American households .,Năng lượng đủ để đáp ứng nhu cầu sử sụng điện hàng ngày của 200 hộ ở Mỹ
"And I asked her the questions that grown-ups ask kids , like , &quot; What is your favorite subject ? &quot;",Tôi hỏi nó câu hỏi mà người lớn thường hỏi trẻ nhỏ như là : &quot; Môn học ưa thích của con là gì ? &quot;
"And if you get out and walk around to the other side of the car , you see a life-sized light box of the car showing you how it works .","Và nếu xuống xe và đi quanh phần thân còn lại bạn sẽ thấy 1 chiếc hộp đèn kích thước thật của chiếc xe , cho bạn thấy cách hoạt động ."
They &apos;re both shrinking and retreating -- and some of them have disappeared altogether .,Chúng đang dần chìm đi và biến mất -- và một số đã biến mất cùng nhau .
"Every city , county , state did their own thing .","Mỗi thành phố , hạt , bang cứ mạnh ai nấy làm ."
"That liminal space , that &apos;s art .","Phần giao thoa , chính là nghệ thuật ."
I expect health and joy and family and community .,"Tôi mong đợi sức khoẻ và niềm vui , gia đình và cộng đồng ."
"Now when I screamed at my children to stop , sometimes they would both say to me the other person hit them harder .","Khi đó tôi phải thét lên gọi bọn trẻ ngừng lại , thỉnh thoảng chúng đều nói với tôi rằng đứa kia đánh chúng mạnh hơn ."
Erik Hersman : Reporting crisis via texting,Erik Hersman trình bày về thông báo tình trạng khẩn cấp qua tin nhắn điên thoại
Imagine you can do that .,Tưởng tượng bạn có thể làm điều đó .
But the problem for everybody who could see this effect was that you couldn &apos;t identify the molecules .,Nhưng vấn đề với những người có thể nhìn thấy hiệu ứng này là bạn không thể xác định phân tử .
"Now investment constitutes only about a fifth of the national income in most modern economies , but it plays an absolutely vital role .","Hiện nay lượng đầu tư chiếm khoảng 1 phần 5 lượng thu nhập quốc gia ở các nước phát triển , nhưng nó đóng một vai trò không thể thiếu ."
"We noticed that the unharmed cultures came from places of opposite contamination levels , so this mistake actually led us to think that perhaps we can compare the different degradative potentials of bacteria from sites of opposite contamination levels .","Chúng tôi thấy những mẻ nuôi cấy không bị ảnh hưởng đều được lấy từ nơi có cấp ô nhiễm đối lập , sai sót này lại làm chúng tôi nghĩ có lẽ mình có thể so sánh tiềm năng phân huỷ khác nhau của các vi khuẩn được lấy từ những nơi có cấp ô nhiễm đối lập ."
&quot; I have read &apos; Blackawton Bees &apos; recently . I don &apos;t have words to explain exactly how I am feeling right now .,&quot; Gần đây tôi vừa đọc &apos; Blackawton Bees &apos; . Không có từ ngữ nào để giải thích chính xác được cảm giác tôi ngay lúc này .
"Last month , there was a piece in the Guardian , in the Manchester Guardian , about it -- two whole pages .","Tháng trước , có một mẫu chuyện trong tờ Guardian , trong tờ Manchester Guardian , về nó -- hẳn hai trang ."
I &apos;ll conclude with a striking implication of all these ideas for the very far future .,Tôi sẽ kết luận với 1 dự đoán nổi bật của những ý tưởng trên về tương lai rất xa .
Why is that happening ?,Sao lại có việc mâu thuẩn như vậy xảy ra ?
And now comes the Spanish flu also .,Và dịch cúm Tây Ban Nha cũng đang đến .
"That only seems authentic when I have stage fright , and the more nervous I was , the better the song would be . Easy .","Bài hát sẽ chỉ xác thực khi tôi bị sợ sân khấu , và tôi càng cảm thấy hồi hộp , thì bài hát sẽ càng hay hơn . Dễ ợt ."
"The European Union began as just the coal and steel community of six countries , and their main purpose was really to keep the rehabilitation of Germany to happen in a peaceful way .",Liên Hiệp Châu Âu khởi đầu từ là một hội đồng than và thép của sáu nước . Và mục đích chính của họ là giữ cho sự phục hồi của Đức diễn ra một cách hoà bình .
But Mahmoud and his son were already there .,Nhưng Mahmoud và con trai anh ta đã ở đó từ bao giờ .
And environment changed from just being about trees and birds and endangered species to being about how we treated each other .,"Và vấn đề môi trường đã chuyển đổi từ việc chỉ có cây cỏ , chim chóc và những loài quý hiếm sang việc chúng ta đối xử với nhau như thế nào ."
Julie Burstein : 4 lessons in creativity,Julie Burstein : 4 bài học về sự sáng tạo
"These were small changes , and these changes created new possibilities .","mà chỉ là những bước nhỏ , và hứa hẹn nhiều tiềm năng ."
Do they have the resources to face up to a serious pandemic ?,Họ có đủ nguồn lực để đối mặt với một đại dịch nghiêm trọng không ?
It was in actually a diner outside of Dallas / Fort Worth Airport .,Thật ra đó là một bữa ăn tối bên ngoài sân bay Dallas / Fort Worth
And I had a major breakthrough when I met the psychologist Albert Bandura .,Tôi đã có một khám phá lớn khi tôi gặp nhà tâm lý học Albert Bandura .
"And I wanted to close this program with a story of hope , a story I did on marine reserves as sort of a solution to the problem of overfishing , the global fish crisis story .","Và tôi muốn đóng chưng trình với một câu chuyện của hy vọng , một câu chuyện tôi đã thực hiện trên khu bảo tồn như là một giải pháp cho vấn đề săn bắt quá mức các loài cá , câu chuyện khủng hoảng cá toàn cầu ."
"It &apos;s the pinnacle , it &apos;s the final product that the universe has produced .","Nó là đỉnh cao , là sản phẩm cuối cùng mà vũ trụ đã tạo ra ."
"This technology , the women will not share with the men .","Cái kỹ thuật đó , những người phụ nữa đã không chia sẻ cho đàn ông ."
That &apos;s what she &apos;s really interested in . &quot;,Đó là những điều mà bà ấy thực sự rất hứng thú . &quot;
So where do you get samples from for your genetic analysis ?,Bạn nhận mẫu thử từ đâu cho việc phân tích gen của mình ?
"And one of the problems that we face , I think , is that the only people that have cornered the market in terms of progress is a financial definition of what progress is , an economic definition of what progress is -- that somehow , if we get the right numbers to go up , we &apos;re going to be better off , whether that &apos;s on the stock market , whether that &apos;s with GDP and economic growth , that somehow life is going to get better .","Một trong những vấn đề chúng ta đối mặt , theo tôi nghĩ , là việc chỉ những người đầu cơ vừa mua hết hàng trên thị trường liên quan tới tiến trình là có khái niệm nào về tài chính cho sự tiến bộ , có khái niệm nào về kinh tế cho sự tiến bộ bằng cách nào đó , nếu chúng ta làm gia tăng đúng những con số , chúng ta sẽ trở nên tốt hơn , dù là sự tiến bộ trên thị trường chứng khoán , dù là sự tiến bộ với GDP và tăng trưởng kinh tế , bằng cách nào đó cuộc sống sẽ trở nên tốt hơn ."
Everything else in the world tends to look at entrepreneurs and say that we &apos;re bad people .,Mọi thứ khác trên thế giới dường như nhìn vào các nhà kinh doanh và khinh bỉ cho rằng chúng tôi là người xấu .
"So you photograph that in exactly the same position , and then you can substitute in -- and that part does use Photoshop -- just the edges .","Vì thế bạn có thể chụp nửa này ở chính xác cùng một vị trí , rồi bạn có thể thay thế -- và phần đó có sử dụng Photoshop -- chỉ với các cạnh thôi ."
"We then tease the cells apart , we grow the cells outside the body .","Chúng tôi sẽ trích xuất các tế bào , và nuôi cấy chúng bên ngoài cơ thể ."
"History has shown that once the police have massive quantities of data , tracking the movements of innocent people , it gets abused , maybe for blackmail , maybe for political advantage , or maybe for simple voyeurism .","Lịch sử đã chỉ ra khi cảnh sát có lượng dữ liệu khổng lồ , theo dõi hoạt động của những người vô tội , nó có thể bị lạm dụng cho việc tống tiền , lợi ích chính trị , hoặc xoi mói đời tư của người khác ."
"So this is a projection of U.S. debt as a percentage of our overall economy , of GDP .","Đây là dự báo về khoản nợ của chính phủ Mỹ như tỷ lệ phần trăm của tổng thể nền kinh tế chung , của GDP ."
"For example , these were state-of-the-art weapons systems in 1400 A.D.","Ví dụ , đây là những hệ thống vũ khí tối tân năm 1400 TCN"
Right now there is an aspiring teacher in a graduate school of education who is watching a professor babble on and on about engagement in the most disengaging way possible .,"Ngay bây giờ , có một giáo viên đầy khát vọng tại trường sư phạm đang theo dõi một vị giáo sư lảm nhảm về sự kết nối trong dạy học một cách kém thu hút nhất ."
"And we need to be able to design structures and what we &apos;re doing is designing social software to enable anyone to build their own peer review process , and we call these things &quot; lenses . &quot;",Và chúng tôi cần phải có thể thiết kế cấu trúc và cái mà chúng tôi đang làm là thiết kế một phần mềm xã hội cho phép mọi người xây dựng quá trình duyệt bài ngang hàng của riêng họ và chúng tôi gọi những thứ đó là những thấu kính
And we even find it in neanderthals and animals .,Chúng tôi thậm chí còn tìm thấy trên giống người Neanderthal và động vật .
"Creating so much torture was not something that was good for me , too . &quot;",Gây ra đau đơn như thế cũng làm cô rất buồn . &quot;
"I &apos;m doing this with that region of my brain right now when I realize that you guys are probably now wondering about all that gray , uncharted territory in the brain , and what &apos;s up with that ?","Tôi đang làm điều này với vùng não đó của tôi ngay bây giờ khi nhận ra các bạn có thể đang thắc mắc về tất cả những địa phận màu xám , chưa được thám hiểm đó trong não . Nó có tác dụng gì ?"
"And thirdly , we need to have some humility .","Và thứ ba , chúng ta cần có sự nhún nhường ."
"Chris Anderson , someone I trust you all know , editor-in-chief of Wired magazine and author of &quot; The Long Tail , &quot; really was the first -- for me -- to nail a lot of this .","Chris Anderson , người mà tôi tin tưởng , biên tập và là chủ của tạp chí Wired và là tác giả của &quot; Cái đuôi dài &quot; &#91; The Long Tail &#93; thực sự là người , đối với tôi , viết về vấn đề này nhiều ."
"In urban areas , college graduates find the starting salary is about 400 U.S. dollars a month , while the average rent is above $ 500 .","Ở vùng thành thị , người có trình độ đại học có lương khởi điểm khoảng 400 đô la Mỹ một tháng , còn tiền thuê nhà trung bình trên $ 500 ."
